"구분(1)",구분(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분(1)",구분(2),TV/라디오,TV/라디오,신문/잡지,신문/잡지,환경부 지자체 홈페이지,환경부 지자체 홈페이지,포털사이트,포털사이트,SNS,SNS,버스/열차 등 광고,버스/열차 등 광고,옥외 전광판,옥외 전광판,세미나/포럼/설명회 등,세미나/포럼/설명회 등,주변 사람,주변 사람,기타,기타,해당사항 없음,해당사항 없음
"구분(1)",구분(2),1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위
"지역",경기도 안산시,67.6,75.1,0.1,4.5,0.3,0.9,8.4,21.0,0.6,3.2,0.2,2.2,0.8,5.5,0.1,0.8,4.5,31.9,0.0,0.0,17.4,17.4
"지역",경기도 고양시,66.6,78.4,2.8,13.2,0.6,1.7,13.9,32.2,0.2,1.7,0.3,1.9,0.3,3.0,0.0,0.1,8.0,30.7,0.1,0.1,7.0,7.0
"지역",경기도 과천시,51.1,72.5,2.8,16.5,0.0,0.8,8.4,19.4,1.4,1.7,4.9,8.5,5.9,11.4,0.0,0.3,14.8,31.0,0.0,0.0,10.7,10.7
"지역",경기도 구리시,45.1,59.6,3.5,5.9,1.1,2.3,14.2,30.6,3.0,8.0,3.6,9.9,0.5,2.3,1.8,1.8,8.7,23.3,0.0,0.0,18.6,18.6
"지역",경기도 남양주시,66.9,75.9,1.0,10.1,0.4,1.3,9.3,32.3,0.8,3.1,0.0,0.4,0.8,4.6,0.0,0.1,8.0,31.4,0.3,0.4,12.4,12.4
"지역",경기도 오산시,58.5,81.8,2.4,13.7,4.1,6.7,14.2,25.9,2.7,7.6,1.4,4.3,1.9,9.6,0.2,0.7,9.8,35.3,0.0,0.0,5.0,5.0
"지역",경기도 시흥시,62.2,80.1,6.2,19.5,0.6,1.5,12.4,34.6,1.6,9.2,1.8,3.2,1.9,7.5,0.2,0.8,10.1,30.7,0.0,0.0,2.8,2.8
"지역",경기도 군포시,64.5,78.7,0.3,1.6,0.2,0.5,25.4,40.9,2.3,6.9,0.3,0.9,0.2,0.2,0.0,0.0,5.3,21.0,0.0,0.0,1.5,1.5
"지역",경기도 의왕시,65.4,89.3,15.3,36.8,5.6,8.8,2.2,27.2,6.9,10.9,0.2,2.5,1.1,3.2,0.0,0.3,3.2,16.3,0.0,0.0,0.2,0.2
"지역",경기도 하남시,64.4,77.3,6.0,12.9,0.9,3.7,5.2,22.0,2.0,6.9,0.3,6.2,1.2,8.1,0.0,0.2,7.0,22.1,0.0,0.0,12.9,12.9
