"구분1(1)",구분1(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분1(1)",구분1(2),사용 여부 (%),사용 여부 (%),구매 여부 (%),구매 여부 (%),사용 기간,사용 기간,사용 기간,사용 기간,사용 기간,사용 기간
"구분1(1)",구분1(2),사용한다,사용하지 않는다,빌트인(내장형),직접구매/임대,1년 미만 (%),1년~3년 미만 (%),3년~5년 미만 (%),5년~10년 미만 (%),10년 이상 (%),평균 사용기간 (개월)
"지역",강원도 강릉시,47.3,52.7,0.4,99.6,5.4,11.1,13.1,28.0,42.4,103.3
"지역",강원도 동해시,49.3,50.7,2.3,97.7,5.0,13.5,16.8,23.2,41.5,95.0
"지역",강원도 태백시,47.6,52.4,1.4,98.6,6.6,14.5,12.1,31.4,35.3,88.7
"지역",강원도 속초시,51.4,48.6,13.4,86.6,4.9,11.0,10.5,29.3,44.2,89.9
"지역",강원도 삼척시,52.7,47.3,0.0,100.0,4.9,11.1,12.4,21.4,50.2,113.8
"지역",강원도 홍천군,54.0,46.0,0.5,99.5,0.5,15.6,16.9,35.3,31.7,79.3
"지역",강원도 횡성군,49.9,50.1,0.0,100.0,2.5,28.7,29.4,24.9,14.6,57.7
"지역",강원도 영월군,54.5,45.5,1.2,98.8,3.2,5.7,16.3,29.5,45.4,114.0
"지역",강원도 평창군,40.9,59.1,0.4,99.6,4.7,6.8,13.6,37.2,37.6,97.3
"지역",강원도 정선군,55.7,44.3,1.7,98.3,1.3,17.5,16.8,28.6,35.8,91.9
"지역",강원도 철원군,51.5,48.5,0.9,99.1,1.9,13.3,33.1,26.4,25.4,70.0
"지역",강원도 화천군,51.9,48.1,2.5,97.5,3.7,15.3,16.6,36.5,27.9,82.6
"지역",강원도 양구군,47.9,52.1,1.2,98.8,9.1,15.0,25.0,24.4,26.5,76.8
"지역",강원도 인제군,54.3,45.7,2.5,97.5,3.9,25.5,22.7,24.3,23.7,67.1
"지역",강원도 고성군,42.8,57.2,3.5,96.5,7.1,11.2,16.8,28.4,36.4,85.8
"지역",강원도 양양군,44.6,55.4,3.1,96.9,3.6,16.9,29.4,32.9,17.1,68.5
"지역",충청북도 충주시,59.6,40.4,4.2,95.8,5.4,13.7,16.1,30.3,34.5,86.9
"지역",충청북도 제천시,53.3,46.7,0.0,100.0,4.1,11.7,14.1,22.5,47.6,105.5
"지역",충청북도 청주시,47.7,52.3,1.1,98.9,4.6,17.5,20.1,22.0,35.8,89.0
"지역",충청북도 보은군,39.0,61.0,39.3,60.7,5.5,25.3,16.2,23.9,29.2,70.8
"지역",충청북도 옥천군,38.6,61.4,1.5,98.5,7.3,17.6,29.3,26.5,19.2,62.7
"지역",충청북도 영동군,42.7,57.3,1.3,98.7,6.5,7.2,12.5,21.9,52.0,99.4
"지역",충청북도 진천군,51.1,48.9,1.6,98.4,0.8,28.0,36.9,18.8,15.5,65.1
"지역",충청북도 괴산군,47.5,52.5,11.5,88.5,9.2,24.0,18.8,21.5,26.5,67.1
"지역",충청북도 음성군,48.7,51.3,0.0,100.0,8.7,9.3,15.4,26.2,40.5,95.4
"지역",충청북도 단양군,57.3,42.7,0.0,100.0,3.3,6.7,15.5,26.7,47.9,116.8
"지역",충청북도 증평군,52.2,47.8,1.0,99.0,1.1,20.7,20.4,30.7,27.1,77.0
"지역",충청남도 천안시,47.2,52.8,1.5,98.5,3.0,17.7,11.7,28.3,39.3,90.6
"지역",충청남도 공주시,43.0,57.0,4.5,95.5,2.7,21.0,18.5,28.6,29.2,78.1
"지역",충청남도 보령시,46.8,53.2,4.5,95.5,2.2,10.0,15.1,29.3,43.5,103.9
"지역",충청남도 아산시,49.7,50.3,1.2,98.8,7.8,20.7,17.9,25.6,28.0,77.8
"지역",충청남도 서산시,46.4,53.6,0.0,100.0,3.0,14.5,18.0,22.5,42.0,99.0
"지역",충청남도 논산시,45.1,54.9,1.3,98.7,2.0,17.7,14.3,30.9,35.1,93.0
"지역",충청남도 계룡시,54.7,45.3,3.8,96.2,8.5,11.7,16.8,11.5,51.5,106.2
"지역",충청남도 당진시,46.0,54.0,1.9,98.1,7.1,17.8,14.1,29.5,31.6,82.6
"지역",충청남도 금산군,34.7,65.3,2.9,97.1,5.2,20.0,18.9,20.8,35.2,87.6
"지역",충청남도 부여군,37.2,62.8,2.6,97.4,10.2,10.2,10.2,31.4,38.1,94.6
"지역",충청남도 서천군,35.7,64.3,2.2,97.8,5.7,11.9,12.7,26.1,43.6,102.0
"지역",충청남도 청양군,33.4,66.6,0.0,100.0,8.0,16.4,19.2,24.0,32.3,79.4
"지역",충청남도 홍성군,38.0,62.0,0.0,100.0,13.5,16.7,17.3,24.5,27.9,71.2
"지역",충청남도 예산군,34.7,65.3,10.5,89.5,7.7,12.7,14.5,25.1,40.0,94.2
"지역",충청남도 태안군,46.6,53.4,0.0,100.0,8.1,13.8,11.1,18.8,48.2,111.1
"지역",전라북도 전주시,42.3,57.7,1.7,98.3,5.6,16.1,19.8,24.7,33.7,84.1
"지역",전라북도 군산시,47.5,52.5,27.0,73.0,4.0,17.0,27.7,28.6,22.7,76.3
"지역",전라북도 익산시,47.6,52.4,0.8,99.2,3.2,16.8,19.1,32.8,28.0,80.6
"지역",전라북도 정읍시,37.1,62.9,3.9,96.1,7.2,7.8,17.0,26.9,41.0,96.0
"지역",전라북도 남원시,45.8,54.2,11.0,89.0,6.6,20.9,18.3,24.0,30.1,74.8
"지역",전라북도 김제시,39.4,60.6,5.1,94.9,1.5,13.1,16.0,32.2,37.3,103.0
"지역",전라북도 완주군,32.9,67.1,1.4,98.6,2.4,17.6,30.8,37.3,11.9,59.3
"지역",전라북도 진안군,27.0,73.0,3.0,97.0,8.4,18.5,21.2,24.9,27.0,78.6
"지역",전라북도 무주군,38.5,61.5,4.0,96.0,6.9,14.1,19.6,30.2,29.2,87.1
"지역",전라북도 장수군,22.5,77.5,3.8,96.2,2.8,26.0,23.0,27.0,21.3,73.4
"지역",전라북도 임실군,37.4,62.6,28.4,71.6,0.5,9.9,6.6,47.2,35.8,84.8
"지역",전라북도 순창군,36.7,63.3,9.2,90.8,6.3,24.6,27.8,28.9,12.4,56.7
"지역",전라북도 고창군,47.5,52.5,1.9,98.1,3.8,21.6,23.9,33.0,17.6,66.6
"지역",전라북도 부안군,37.2,62.8,3.9,96.1,2.5,21.6,13.5,18.9,43.6,94.3
"지역",전라남도 목포시,49.5,50.5,3.2,96.8,3.8,16.2,10.1,25.4,44.5,101.2
"지역",전라남도 여수시,47.1,52.9,0.7,99.3,7.7,20.9,19.6,23.5,28.3,73.4
