"지역",전라남도 고흥군,72.8,20.3,6.9
"지역",전라남도 보성군,3.0,87.0,10.0
"지역",전라남도 화순군,21.4,28.6,50.0
"지역",전라남도 장흥군,62.8,14.1,23.1
"지역",전라남도 강진군,21.2,20.9,57.9
"지역",전라남도 해남군,43.2,43.0,13.8
"지역",전라남도 영암군,61.3,23.1,15.6
"지역",전라남도 무안군,59.4,9.7,30.9
"지역",전라남도 함평군,21.1,13.9,64.9
"지역",전라남도 영광군,45.9,6.7,47.5
"지역",전라남도 장성군,55.6,24.8,19.6
"지역",전라남도 완도군,68.4,19.4,12.2
"지역",전라남도 진도군,2.4,16.8,80.8
"지역",전라남도 신안군,42.9,14.9,42.3
"지역",경상북도 포항시,8.7,45.9,45.4
"지역",경상북도 경주시,46.8,19.2,34.0
"지역",경상북도 김천시,0.0,30.5,69.5
"지역",경상북도 안동시,8.9,63.0,28.1
"지역",경상북도 구미시,31.0,43.2,25.8
"지역",경상북도 영주시,29.6,56.8,13.6
"지역",경상북도 영천시,22.4,37.4,40.2
"지역",경상북도 상주시,38.3,19.8,41.9
"지역",경상북도 문경시,15.1,28.1,56.8
"지역",경상북도 경산시,5.7,16.7,77.6
"지역",경상북도 군위군,3.9,45.6,50.5
"지역",경상북도 의성군,27.2,35.8,37.0
"지역",경상북도 청송군,15.9,47.8,36.3
"지역",경상북도 영양군,16.1,16.5,67.4
"지역",경상북도 영덕군,5.5,43.0,51.5
"지역",경상북도 청도군,23.8,24.7,51.6
"지역",경상북도 고령군,6.1,49.8,44.2
"지역",경상북도 성주군,8.7,36.2,55.1
"지역",경상북도 칠곡군,8.7,38.3,53.0
"지역",경상북도 예천군,39.8,31.0,29.3
"지역",경상북도 봉화군,0.5,31.5,68.0
"지역",경상북도 울진군,17.5,31.5,51.0
"지역",경상북도 울릉군,0.3,43.1,56.6
"지역",경상남도 창원시,23.8,41.1,35.1
"지역",경상남도 진주시,43.3,41.9,14.8
"지역",경상남도 통영시,5.2,41.1,53.7
"지역",경상남도 사천시,28.4,52.7,19.0
"지역",경상남도 김해시,27.8,31.6,40.7
"지역",경상남도 밀양시,4.9,13.9,81.2
"지역",경상남도 거제시,43.6,26.4,30.1
"지역",경상남도 양산시,7.6,30.2,62.2
"지역",경상남도 의령군,38.3,20.9,40.8
